Police Territorial Jurisdiction,,,
,Number Of Crime According To Police Territorial Jurisdiction,,
,2018,2019,2020
ACEH,8758,7483,7745
SUMATERA UTARA,32922,30831,32990
SUMATERA BARAT,12953,11064,7992
RIAU,7246,6570,8194
JAMBI,6313,6848,4709
SUMATERA SELATAN,13558,12861,12189
BENGKULU,3389,3453,3333
LAMPUNG,8963,8534,7594
KEP. BANGKA BELITUNG,2048,1953,1931
KEP. RIAU,3409,3159,2843
METRO JAYA,34655,31934,26585
JAWA BARAT,16209,13145,11256
JAWA TENGAH,9127,10317,10712
DI YOGYAKARTA,6731,6650,7721
JAWA TIMUR,26295,26985,17642
BANTEN,3623,3287,4250
BALI,3212,3047,2597
NUSA TENGGARA BARAT,6451,8185,8591
NUSA TENGGARA TIMUR,6257,5865,4790
KALIMANTAN BARAT,5814,4721,3858
KALIMANTAN TENGAH,2667,2444,2629
KALIMANTAN SELATAN,5699,5375,5206
KALIMANTAN TIMUR,6287,4417,3609
KALIMANTAN UTARA,396,876,1015
SULAWESI UTARA,10247,7425,6274
SULAWESI TENGAH,9379,6265,5454
SULAWESI SELATAN,21498,16008,12815
SULAWESI TENGGARA,1263,1213,2148
GORONTALO,2836,2367,2518
SULAWESI BARAT,1817,1863,1704
MALUKU,2751,3495,5350
MALUKU UTARA,722,718,850
PAPUA BARAT,3475,2972,3162
PAPUA,7311,6994,6962
INDONESIA,294281,269324,247218
